VD;Motivo
134;Sem inventário correspondente
848;Sem inventário correspondente
752;Sem inventário correspondente
577;Sem inventário correspondente
881;Sem inventário correspondente
356;Sem inventário correspondente
876;Sem inventário correspondente
2060;Sem inventário correspondente
394;Sem inventário correspondente
717;Sem inventário correspondente
833;Sem inventário correspondente
2179;Sem inventário correspondente
911;Sem inventário correspondente
2041;Sem inventário correspondente
391;Sem inventário correspondente
574;Sem inventário correspondente
952;Sem inventário correspondente
392;Sem inventário correspondente
878;Sem inventário correspondente
2213;Sem inventário correspondente
959;Sem inventário correspondente
2012;Sem inventário correspondente
040;Sem inventário correspondente
471;Sem inventário correspondente
2020;Sem inventário correspondente
049;Sem inventário correspondente
096;Sem inventário correspondente
2023;Sem inventário correspondente
2031;Sem inventário correspondente
997;Sem inventário correspondente
442;Sem inventário correspondente
451;Sem inventário correspondente
455;Sem inventário correspondente
152;Sem inventário correspondente
2038;Sem inventário correspondente
664;Sem inventário correspondente
2024;Sem inventário correspondente
2028;Sem inventário correspondente
438;Sem inventário correspondente
2037;Sem inventário correspondente
2131;Sem inventário correspondente
2029;Sem inventário correspondente
072;Sem inventário correspondente
279;Sem inventário correspondente
837;Sem inventário correspondente
440;Sem inventário correspondente
800;Sem inventário correspondente
657;Sem inventário correspondente
855;Sem inventário correspondente
472;Sem inventário correspondente
102;Sem inventário correspondente
895;Sem inventário correspondente
415;Sem inventário correspondente
066;Sem inventário correspondente
443;Sem inventário correspondente
729;Sem inventário correspondente
287;Sem inventário correspondente
2147;Sem inventário correspondente
963;Sem inventário correspondente
914;Sem inventário correspondente
148;Sem inventário correspondente
2045;Sem inventário correspondente
1434;Sem inventário correspondente
2112;Sem inventário correspondente
2145;Sem inventário correspondente
955;Sem inventário correspondente
295;Sem inventário correspondente
2346;Sem inventário correspondente
524;Sem inventário correspondente
739;Sem inventário correspondente
365;Sem inventário correspondente
2616;Sem inventário correspondente
675;Sem inventário correspondente
173;Sem inventário correspondente
2140;Sem inventário correspondente
893;Sem inventário correspondente
966;Sem inventário correspondente
983;Sem inventário correspondente
421;Sem inventário correspondente
2008;Sem inventário correspondente
099;Sem inventário correspondente
504;Sem inventário correspondente
619;Sem inventário correspondente
662;Sem inventário correspondente
736;Sem inventário correspondente
688;Sem inventário correspondente
367;Sem inventário correspondente
339;Sem inventário correspondente
922;Sem inventário correspondente
2503;Sem inventário correspondente
2099;Sem inventário correspondente
036;Sem inventário correspondente
224;Sem inventário correspondente
254;Sem inventário correspondente
169;Sem inventário correspondente
491;Sem inventário correspondente
2018;Sem inventário correspondente
065;Sem inventário correspondente
2200;Sem inventário correspondente
240;Sem inventário correspondente
062;Sem inventário correspondente
510;Sem inventário correspondente
411;Sem inventário correspondente
265;Sem inventário correspondente
617;Sem inventário correspondente
132;Sem inventário correspondente
253;Sem inventário correspondente
283;Sem inventário correspondente
256;Sem inventário correspondente
2094;Sem inventário correspondente
2486;Sem inventário correspondente
418;Sem inventário correspondente
047;Sem inventário correspondente
2026;Sem inventário correspondente
219;Sem inventário correspondente
487;Sem inventário correspondente
605;Sem inventário correspondente
079;Sem inventário correspondente
155;Sem inventário correspondente
694;Sem inventário correspondente
264;Sem inventário correspondente
337;Sem inventário correspondente
447;Sem inventário correspondente
429;Sem inventário correspondente
2010;Sem inventário correspondente
2039;Sem inventário correspondente
919;Sem inventário correspondente
475;Sem inventário correspondente
133;Sem inventário correspondente
735;Sem inventário correspondente
156;Sem inventário correspondente
2339;Sem inventário correspondente
346;Sem inventário correspondente
671;Sem inventário correspondente
2248;Sem inventário correspondente
829;Sem inventário correspondente
074;Sem inventário correspondente
618;Sem inventário correspondente
2065;Sem inventário correspondente
326;Sem inventário correspondente
371;Sem inventário correspondente
511;Sem inventário correspondente
017;Sem inventário correspondente
461;Sem inventário correspondente
272;Sem inventário correspondente
702;Sem inventário correspondente
2650;Sem inventário correspondente
658;Sem inventário correspondente
2134;Sem inventário correspondente
2232;Sem inventário correspondente
223;Sem inventário correspondente
503;Sem inventário correspondente
063;Sem inventário correspondente
327;Sem inventário correspondente
267;Sem inventário correspondente
023;Sem inventário correspondente
414;Sem inventário correspondente
993;Sem inventário correspondente
972;Sem inventário correspondente
517;Sem inventário correspondente
969;Sem inventário correspondente
019;Sem inventário correspondente
255;Sem inventário correspondente
998;Sem inventário correspondente
258;Sem inventário correspondente
325;Sem inventário correspondente
2235;Sem inventário correspondente
2137;Sem inventário correspondente
097;Sem inventário correspondente
520;Sem inventário correspondente
057;Sem inventário correspondente
541;Sem inventário correspondente
542;Sem inventário correspondente
2044;Sem inventário correspondente
2042;Sem inventário correspondente
428;Sem inventário correspondente
498;Sem inventário correspondente
612;Sem inventário correspondente
470;Sem inventário correspondente
484;Sem inventário correspondente
088;Sem inventário correspondente
741;Sem inventário correspondente
2097;Sem inventário correspondente
2667;Sem inventário correspondente
069;Sem inventário correspondente
2118;Sem inventário correspondente
259;Sem inventário correspondente
277;Sem inventário correspondente
241;Sem inventário correspondente
086;Sem inventário correspondente
478;Sem inventário correspondente
2452;Sem inventário correspondente
274;Sem inventário correspondente
616;Sem inventário correspondente
208;Sem inventário correspondente
477;Sem inventário correspondente
2120;Sem inventário correspondente
261;Sem inventário correspondente
2242;Sem inventário correspondente
516;Sem inventário correspondente
600;Sem inventário correspondente
982;Sem inventário correspondente
827;Sem inventário correspondente
2282;Sem inventário correspondente
125;Sem inventário correspondente
701;Sem inventário correspondente
185;Sem inventário correspondente
358;Sem inventário correspondente
2514;Sem inventário correspondente
2367;Sem inventário correspondente
2196;Sem inventário correspondente
2267;Sem inventário correspondente
940;Sem inventário correspondente
050;Sem inventário correspondente
685;Sem inventário correspondente
2258;Sem inventário correspondente
334;Sem inventário correspondente
135;Sem inventário correspondente
854;Sem inventário correspondente
481;Sem inventário correspondente
514;Sem inventário correspondente
174;Sem inventário correspondente
2096;Sem inventário correspondente
626;Sem inventário correspondente
218;Sem inventário correspondente
2025;Sem inventário correspondente
021;Sem inventário correspondente
068;Sem inventário correspondente
2027;Sem inventário correspondente
493;Sem inventário correspondente
660;Sem inventário correspondente
263;Sem inventário correspondente
084;Sem inventário correspondente
271;Sem inventário correspondente
027;Sem inventário correspondente
719;Sem inventário correspondente
2089;Sem inventário correspondente
2133;Sem inventário correspondente
433;Sem inventário correspondente
2268;Sem inventário correspondente
067;Sem inventário correspondente
2237;Sem inventário correspondente
441;Sem inventário correspondente
145;Sem inventário correspondente
076;Sem inventário correspondente
426;Sem inventário correspondente
307;Sem inventário correspondente
459;Sem inventário correspondente
082;Sem inventário correspondente
962;Sem inventário correspondente
473;Sem inventário correspondente
2190;Sem inventário correspondente
093;Sem inventário correspondente
328;Sem inventário correspondente
366;Sem inventário correspondente
402;Sem inventário correspondente
2154;Sem inventário correspondente
2011;Sem inventário correspondente
571;Sem inventário correspondente
266;Sem inventário correspondente
247;Sem inventário correspondente
214;Sem inventário correspondente
2095;Sem inventário correspondente
2183;Sem inventário correspondente
2015;Sem inventário correspondente
110;Sem inventário correspondente
2002;Sem inventário correspondente
2048;Sem inventário correspondente
2090;Sem inventário correspondente
808;Sem inventário correspondente
198;Sem inventário correspondente
323;Sem inventário correspondente
257;Sem inventário correspondente
251;Sem inventário correspondente
830;Sem inventário correspondente
004;Sem inventário correspondente
101;Sem inventário correspondente
2046;Sem inventário correspondente
030;Sem inventário correspondente
416;Sem inventário correspondente
029;Sem inventário correspondente
2013;Sem inventário correspondente
070;Sem inventário correspondente
989;Sem inventário correspondente
2513;Sem inventário correspondente
230;Sem inventário correspondente
551;Sem inventário correspondente
2271;Sem inventário correspondente
2373;Sem inventário correspondente
625;Sem inventário correspondente
2519;Sem inventário correspondente
2470;Sem inventário correspondente
859;Sem inventário correspondente
947;Sem inventário correspondente
188;Sem inventário correspondente
2532;Sem inventário correspondente
847;Sem inventário correspondente
892;Sem inventário correspondente
534;Sem inventário correspondente
872;Sem inventário correspondente
607;Sem inventário correspondente
2278;Sem inventário correspondente
318;Sem inventário correspondente
614;Sem inventário correspondente
226;Sem inventário correspondente
635;Sem inventário correspondente
636;Sem inventário correspondente
2335;Sem inventário correspondente
244;Sem inventário correspondente
898;Sem inventário correspondente
2231;Sem inventário correspondente
2325;Sem inventário correspondente
798;Sem inventário correspondente
894;Sem inventário correspondente
844;Sem inventário correspondente
060;Sem inventário correspondente
2132;Sem inventário correspondente
784;Sem inventário correspondente
765;Sem inventário correspondente
489;Sem inventário correspondente
330;Sem inventário correspondente
570;Sem inventário correspondente
177;Sem inventário correspondente
130;Sem inventário correspondente
468;Sem inventário correspondente
2229;Sem inventário correspondente
2289;Sem inventário correspondente
141;Sem inventário correspondente
2148;Sem inventário correspondente
309;Sem inventário correspondente
748;Sem inventário correspondente
311;Sem inventário correspondente
329;Sem inventário correspondente
179;Sem inventário correspondente
121;Sem inventário correspondente
453;Sem inventário correspondente
474;Sem inventário correspondente
206;Sem inventário correspondente
467;Sem inventário correspondente
2199;Sem inventário correspondente
2021;Sem inventário correspondente
466;Sem inventário correspondente
2144;Sem inventário correspondente
684;Sem inventário correspondente
2482;Sem inventário correspondente
720;Sem inventário correspondente
314;Sem inventário correspondente
686;Sem inventário correspondente
2259;Sem inventário correspondente
944;Sem inventário correspondente
874;Sem inventário correspondente
569;Sem inventário correspondente
427;Sem inventário correspondente
405;Sem inventário correspondente
2366;Sem inventário correspondente
2104;Sem inventário correspondente
2462;Sem inventário correspondente
968;Sem inventário correspondente
2404;Sem inventário correspondente
324;Sem inventário correspondente
315;Sem inventário correspondente
286;Sem inventário correspondente
2334;Sem inventário correspondente
389;Sem inventário correspondente
164;Sem inventário correspondente
801;Sem inventário correspondente
2279;Sem inventário correspondente
2410;Sem inventário correspondente
560;Sem inventário correspondente
742;Sem inventário correspondente
2528;Sem inventário correspondente
971;Sem inventário correspondente
883;Sem inventário correspondente
168;Sem inventário correspondente
2014;Sem inventário correspondente
2167;Sem inventário correspondente
836;Sem inventário correspondente
041;Sem inventário correspondente
2160;Sem inventário correspondente
2284;Sem inventário correspondente
880;Sem inventário correspondente
529;Sem inventário correspondente
2036;Sem inventário correspondente
2500;Sem inventário correspondente
555;Sem inventário correspondente
631;Sem inventário correspondente
761;Sem inventário correspondente
083;Sem inventário correspondente
2034;Sem inventário correspondente
344;Sem inventário correspondente
2207;Sem inventário correspondente
659;Sem inventário correspondente
2330;Sem inventário correspondente
2505;Sem inventário correspondente
803;Sem inventário correspondente
189;Sem inventário correspondente
2275;Sem inventário correspondente
2103;Sem inventário correspondente
589;Sem inventário correspondente
035;Sem inventário correspondente
2261;Sem inventário correspondente
2369;Sem inventário correspondente
436;Sem inventário correspondente
928;Sem inventário correspondente
958;Sem inventário correspondente
2009;Sem inventário correspondente
539;Sem inventário correspondente
2265;Sem inventário correspondente
826;Sem inventário correspondente
359;Sem inventário correspondente
835;Sem inventário correspondente
2372;Sem inventário correspondente
950;Sem inventário correspondente
222;Sem inventário correspondente
2336;Sem inventário correspondente
751;Sem inventário correspondente
2338;Sem inventário correspondente
2492;Sem inventário correspondente
526;Sem inventário correspondente
2201;Sem inventário correspondente
2241;Sem inventário correspondente
2550;Sem inventário correspondente
678;Sem inventário correspondente
2220;Sem inventário correspondente
091;Sem inventário correspondente
2387;Sem inventário correspondente
2499;Sem inventário correspondente
207;Sem inventário correspondente
465;Sem inventário correspondente
144;Sem inventário correspondente
2058;Sem inventário correspondente
943;Sem inventário correspondente
725;Sem inventário correspondente
081;Sem inventário correspondente
661;Sem inventário correspondente
2244;Sem inventário correspondente
239;Sem inventário correspondente
221;Sem inventário correspondente
2150;Sem inventário correspondente
143;Sem inventário correspondente
2356;Sem inventário correspondente
313;Sem inventário correspondente
603;Sem inventário correspondente
053;Sem inventário correspondente
788;Sem inventário correspondente
2224;Sem inventário correspondente
2233;Sem inventário correspondente
1460;Sem inventário correspondente
1477;Sem inventário correspondente
1472;Sem inventário correspondente
1432;Sem inventário correspondente
1450;Sem inventário correspondente
1438;Sem inventário correspondente
1747;Sem inventário correspondente
1433;Sem inventário correspondente
1493;Sem inventário correspondente
1435;Sem inventário correspondente
2314;Sem inventário correspondente
2312;Sem inventário correspondente
205;Sem inventário correspondente
2445;Sem inventário correspondente
094;Sem inventário correspondente
645;Sem inventário correspondente
116;Sem inventário correspondente
2337;Sem inventário correspondente
161;Sem inventário correspondente
667;Sem inventário correspondente
954;Sem inventário correspondente
424;Sem inventário correspondente
187;Sem inventário correspondente
105;Sem inventário correspondente
815;Sem inventário correspondente
2343;Sem inventário correspondente
2185;Sem inventário correspondente
728;Sem inventário correspondente
2332;Sem inventário correspondente
977;Sem inventário correspondente
956;Sem inventário correspondente
985;Sem inventário correspondente
170;Sem inventário correspondente
387;Sem inventário correspondente
937;Sem inventário correspondente
195;Sem inventário correspondente
138;Sem inventário correspondente
806;Sem inventário correspondente
191;Sem inventário correspondente
172;Sem inventário correspondente
523;Sem inventário correspondente
726;Sem inventário correspondente
2017;Sem inventário correspondente
2108;Sem inventário correspondente
092;Sem inventário correspondente
804;Sem inventário correspondente
2623;Sem inventário correspondente
779;Sem inventário correspondente
633;Sem inventário correspondente
114;Sem inventário correspondente
059;Sem inventário correspondente
032;Sem inventário correspondente
497;Sem inventário correspondente
733;Sem inventário correspondente
180;Sem inventário correspondente
2331;Sem inventário correspondente
673;Sem inventário correspondente
340;Sem inventário correspondente
842;Sem inventário correspondente
494;Sem inventário correspondente
756;Sem inventário correspondente
225;Sem inventário correspondente
632;Sem inventário correspondente
559;Sem inventário correspondente
2276;Sem inventário correspondente
118;Sem inventário correspondente
774;Sem inventário correspondente
897;Sem inventário correspondente
655;Sem inventário correspondente
104;Sem inventário correspondente
537;Sem inventário correspondente
2406;Sem inventário correspondente
976;Sem inventário correspondente
2424;Sem inventário correspondente
071;Sem inventário correspondente
813;Sem inventário correspondente
2236;Sem inventário correspondente
2435;Sem inventário correspondente
2122;Sem inventário correspondente
715;Sem inventário correspondente
103;Sem inventário correspondente
281;Sem inventário correspondente
2298;Sem inventário correspondente
957;Sem inventário correspondente
2066;Sem inventário correspondente
374;Sem inventário correspondente
2215;Sem inventário correspondente
795;Sem inventário correspondente
154;Sem inventário correspondente
151;Sem inventário correspondente
495;Sem inventário correspondente
991;Sem inventário correspondente
745;Sem inventário correspondente
2187;Sem inventário correspondente
290;Sem inventário correspondente
480;Sem inventário correspondente
368;Sem inventário correspondente
157;Sem inventário correspondente
515;Sem inventário correspondente
262;Sem inventário correspondente
599;Sem inventário correspondente
2390;Sem inventário correspondente
953;Sem inventário correspondente
111;Sem inventário correspondente
386;Sem inventário correspondente
832;Sem inventário correspondente
140;Sem inventário correspondente
113;Sem inventário correspondente
759;Sem inventário correspondente
037;Sem inventário correspondente
112;Sem inventário correspondente
506;Sem inventário correspondente
933;Sem inventário correspondente
654;Sem inventário correspondente
941;Sem inventário correspondente
2270;Sem inventário correspondente
980;Sem inventário correspondente
793;Sem inventário correspondente
444;Sem inventário correspondente
031;Sem inventário correspondente
780;Sem inventário correspondente
2469;Sem inventário correspondente
108;Sem inventário correspondente
379;Sem inventário correspondente
967;Sem inventário correspondente
422;Sem inventário correspondente
650;Sem inventário correspondente
249;Sem inventário correspondente
2049;Sem inventário correspondente
2246;Sem inventário correspondente
077;Sem inventário correspondente
2142;Sem inventário correspondente
008;Sem inventário correspondente
2238;Sem inventário correspondente
363;Sem inventário correspondente
2198;Sem inventário correspondente
048;Sem inventário correspondente
193;Sem inventário correspondente
450;Sem inventário correspondente
979;Sem inventário correspondente
095;Sem inventário correspondente
2135;Sem inventário correspondente
483;Sem inventário correspondente
610;Sem inventário correspondente
098;Sem inventário correspondente
490;Sem inventário correspondente
089;Sem inventário correspondente
764;Sem inventário correspondente
2111;Sem inventário correspondente
347;Sem inventário correspondente
500;Sem inventário correspondente
200;Sem inventário correspondente
181;Sem inventário correspondente
039;Sem inventário correspondente
508;Sem inventário correspondente
052;Sem inventário correspondente
278;Sem inventário correspondente
213;Sem inventário correspondente
2219;Sem inventário correspondente
139;Sem inventário correspondente
641;Sem inventário correspondente
840;Sem inventário correspondente
611;Sem inventário correspondente
417;Sem inventário correspondente
771;Sem inventário correspondente
2152;Sem inventário correspondente
879;Sem inventário correspondente
2192;Sem inventário correspondente
061;Sem inventário correspondente
375;Sem inventário correspondente
289;Sem inventário correspondente
2105;Sem inventário correspondente
282;Sem inventário correspondente
147;Sem inventário correspondente
2509;Sem inventário correspondente
482;Sem inventário correspondente
055;Sem inventário correspondente
768;Sem inventário correspondente
332;Sem inventário correspondente
045;Sem inventário correspondente
385;Sem inventário correspondente
2250;Sem inventário correspondente
2109;Sem inventário correspondente
512;Sem inventário correspondente
469;Sem inventário correspondente
252;Sem inventário correspondente
606;Sem inventário correspondente
492;Sem inventário correspondente
018;Sem inventário correspondente
679;Sem inventário correspondente
2522;Sem inventário correspondente
2341;Sem inventário correspondente
689;Sem inventário correspondente
824;Sem inventário correspondente
136;Sem inventário correspondente
280;Sem inventário correspondente
2080;Sem inventário correspondente
2324;Sem inventário correspondente
376;Sem inventário correspondente
348;Sem inventário correspondente
085;Sem inventário correspondente
2188;Sem inventário correspondente
812;Sem inventário correspondente
532;Sem inventário correspondente
186;Sem inventário correspondente
175;Sem inventário correspondente
087;Sem inventário correspondente
672;Sem inventário correspondente
984;Sem inventário correspondente
2487;Sem inventário correspondente
351;Sem inventário correspondente
163;Sem inventário correspondente
388;Sem inventário correspondente
666;Sem inventário correspondente
437;Sem inventário correspondente
126;Sem inventário correspondente
2402;Sem inventário correspondente
760;Sem inventário correspondente
078;Sem inventário correspondente
2252;Sem inventário correspondente
754;Sem inventário correspondente
182;Sem inventário correspondente
275;Sem inventário correspondente
184;Sem inventário correspondente
2391;Sem inventário correspondente
107;Sem inventário correspondente
430;Sem inventário correspondente
2151;Sem inventário correspondente
2226;Sem inventário correspondente
2102;Sem inventário correspondente
2006;Sem inventário correspondente
656;Sem inventário correspondente
2530;Sem inventário correspondente
869;Sem inventário correspondente
003;Sem inventário correspondente
109;Sem inventário correspondente
581;Sem inventário correspondente
817;Sem inventário correspondente
075;Sem inventário correspondente
025;Sem inventário correspondente
338;Sem inventário correspondente
268;Sem inventário correspondente
439;Sem inventário correspondente
525;Sem inventário correspondente
2125;Sem inventário correspondente
042;Sem inventário correspondente
978;Sem inventário correspondente
312;Sem inventário correspondente
488;Sem inventário correspondente
2409;Sem inventário correspondente
2490;Sem inventário correspondente
2400;Sem inventário correspondente
320;Sem inventário correspondente
853;Sem inventário correspondente
2365;Sem inventário correspondente
2344;Sem inventário correspondente
310;Sem inventário correspondente
171;Sem inventário correspondente
165;Sem inventário correspondente
838;Sem inventário correspondente
216;Sem inventário correspondente
192;Sem inventário correspondente
245;Sem inventário correspondente
884;Sem inventário correspondente
807;Sem inventário correspondente
665;Sem inventário correspondente
499;Sem inventário correspondente
624;Sem inventário correspondente
2297;Sem inventário correspondente
2158;Sem inventário correspondente
776;Sem inventário correspondente
203;Sem inventário correspondente
016;Sem inventário correspondente
445;Sem inventário correspondente
2075;Sem inventário correspondente
691;Sem inventário correspondente
046;Sem inventário correspondente
687;Sem inventário correspondente
127;Sem inventário correspondente
775;Sem inventário correspondente
425;Sem inventário correspondente
2397;Sem inventário correspondente
159;Sem inventário correspondente
692;Sem inventário correspondente
637;Sem inventário correspondente
602;Sem inventário correspondente
454;Sem inventário correspondente
965;Sem inventário correspondente
319;Sem inventário correspondente
352;Sem inventário correspondente
2022;Sem inventário correspondente
202;Sem inventário correspondente
2434;Sem inventário correspondente
211;Sem inventário correspondente
2385;Sem inventário correspondente
629;Sem inventário correspondente
026;Sem inventário correspondente
167;Sem inventário correspondente
345;Sem inventário correspondente
2466;Sem inventário correspondente
2362;Sem inventário correspondente
927;Sem inventário correspondente
013;Sem inventário correspondente
721;Sem inventário correspondente
452;Sem inventário correspondente
2329;Sem inventário correspondente
024;Sem inventário correspondente
496;Sem inventário correspondente
2230;Sem inventário correspondente
758;Sem inventário correspondente
693;Sem inventário correspondente
891;Sem inventário correspondente
608;Sem inventário correspondente
2608;Sem inventário correspondente
227;Sem inventário correspondente
199;Sem inventário correspondente
2166;Sem inventário correspondente
868;Sem inventário correspondente
166;Sem inventário correspondente
2047;Sem inventário correspondente
058;Sem inventário correspondente
677;Sem inventário correspondente
212;Sem inventário correspondente
228;Sem inventário correspondente
014;Sem inventário correspondente
738;Sem inventário correspondente
479;Sem inventário correspondente
828;Sem inventário correspondente
2447;Sem inventário correspondente
682;Sem inventário correspondente
2377;Sem inventário correspondente
2007;Sem inventário correspondente
587;Sem inventário correspondente
090;Sem inventário correspondente
2394;Sem inventário correspondente
732;Sem inventário correspondente
119;Sem inventário correspondente
935;Sem inventário correspondente
194;Sem inventário correspondente
317;Sem inventário correspondente
996;Sem inventário correspondente
554;Sem inventário correspondente
012;Sem inventário correspondente
766;Sem inventário correspondente
015;Sem inventário correspondente
964;Sem inventário correspondente
2035;Sem inventário correspondente
501;Sem inventário correspondente
406;Sem inventário correspondente
2610;Sem inventário correspondente
2596;Sem inventário correspondente
2594;Sem inventário correspondente
716;Sem inventário correspondente
269;Sem inventário correspondente
396;Sem inventário correspondente
592;Sem inventário correspondente
137;Sem inventário correspondente
699;Sem inventário correspondente
2228;Sem inventário correspondente
2313;Sem inventário correspondente
106;Sem inventário correspondente
792;Sem inventário correspondente
273;Sem inventário correspondente
043;Sem inventário correspondente
364;Sem inventário correspondente
486;Sem inventário correspondente
370;Sem inventário correspondente
100;Sem inventário correspondente
651;Sem inventário correspondente
381;Sem inventário correspondente
2019;Sem inventário correspondente
2043;Sem inventário correspondente
117;Sem inventário correspondente
753;Sem inventário correspondente
623;Sem inventário correspondente
939;Sem inventário correspondente
2322;Sem inventário correspondente
680;Sem inventário correspondente
361;Sem inventário correspondente
846;Sem inventário correspondente
178;Sem inventário correspondente
2345;Sem inventário correspondente
2520;Sem inventário correspondente
509;Sem inventário correspondente
080;Sem inventário correspondente
734;Sem inventário correspondente
2079;Sem inventário correspondente
2543;Sem inventário correspondente
2540;Sem inventário correspondente
2523;Sem inventário correspondente
034;Sem inventário correspondente
743;Sem inventário correspondente
2182;Sem inventário correspondente
2333;Sem inventário correspondente
372;Sem inventário correspondente
749;Sem inventário correspondente
2446;Sem inventário correspondente
2475;Sem inventário correspondente
597;Sem inventário correspondente
805;Sem inventário correspondente
322;Sem inventário correspondente
644;Sem inventário correspondente
2197;Sem inventário correspondente
2370;Sem inventário correspondente
2544;Sem inventário correspondente
640;Sem inventário correspondente
2515;Sem inventário correspondente
308;Sem inventário correspondente
522;Sem inventário correspondente
740;Sem inventário correspondente
2186;Sem inventário correspondente
2205;Sem inventário correspondente
2251;Sem inventário correspondente
377;Sem inventário correspondente
683;Sem inventário correspondente
535;Sem inventário correspondente
849;Sem inventário correspondente
810;Sem inventário correspondente
343;Sem inventário correspondente
578;Sem inventário correspondente
573;Sem inventário correspondente
2342;Sem inventário correspondente
2473;Sem inventário correspondente
2549;Sem inventário correspondente
2411;Sem inventário correspondente
354;Sem inventário correspondente
2529;Sem inventário correspondente
229;Sem inventário correspondente
545;Sem inventário correspondente
634;Sem inventário correspondente
831;Sem inventário correspondente
306;Sem inventário correspondente
668;Sem inventário correspondente
773;Sem inventário correspondente
2272;Sem inventário correspondente
2467;Sem inventário correspondente
2389;Sem inventário correspondente
243;Sem inventário correspondente
357;Sem inventário correspondente
757;Sem inventário correspondente
2326;Sem inventário correspondente
814;Sem inventário correspondente
533;Sem inventário correspondente
2398;Sem inventário correspondente
2254;Sem inventário correspondente
556;Sem inventário correspondente
2494;Sem inventário correspondente
2440;Sem inventário correspondente
566;Sem inventário correspondente
873;Sem inventário correspondente
527;Sem inventário correspondente
789;Sem inventário correspondente
796;Sem inventário correspondente
294;Sem inventário correspondente
2072;Sem inventário correspondente
2472;Sem inventário correspondente
2521;Sem inventário correspondente
875;Sem inventário correspondente
2619;Sem inventário correspondente
652;Sem inventário correspondente
896;Sem inventário correspondente
2441;Sem inventário correspondente
331;Sem inventário correspondente
818;Sem inventário correspondente
2323;Sem inventário correspondente
2463;Sem inventário correspondente
2395;Sem inventário correspondente
246;Sem inventário correspondente
783;Sem inventário correspondente
2327;Sem inventário correspondente
886;Sem inventário correspondente
2128;Sem inventário correspondente
2184;Sem inventário correspondente
2214;Sem inventário correspondente
2328;Sem inventário correspondente
2001;Sem inventário correspondente
2476;Sem inventário correspondente
2536;Sem inventário correspondente
2461;Sem inventário correspondente
2491;Sem inventário correspondente
2542;Sem inventário correspondente
2578;Sem inventário correspondente
648;Sem inventário correspondente
557;Sem inventário correspondente
2364;Sem inventário correspondente
865;Sem inventário correspondente
335;Sem inventário correspondente
857;Sem inventário correspondente
2393;Sem inventário correspondente
885;Sem inventário correspondente
851;Sem inventário correspondente
238;Sem inventário correspondente
852;Sem inventário correspondente
860;Sem inventário correspondente
2156;Sem inventário correspondente
2146;Sem inventário correspondente
2253;Sem inventário correspondente
383;Sem inventário correspondente
2405;Sem inventário correspondente
2577;Sem inventário correspondente
2632;Sem inventário correspondente
2605;Sem inventário correspondente
2625;Sem inventário correspondente
1903;Sem inventário correspondente
2622;Sem inventário correspondente
2593;Sem inventário correspondente
2606;Sem inventário correspondente
1844;Sem inventário correspondente
2580;Sem inventário correspondente
2630;Sem inventário correspondente
2636;Sem inventário correspondente
1845;Sem inventário correspondente
1853;Sem inventário correspondente
2607;Sem inventário correspondente
2626;Sem inventário correspondente
2627;Sem inventário correspondente
2648;Sem inventário correspondente
2640;Sem inventário correspondente
2661;Sem inventário correspondente
1926;Sem inventário correspondente
2695;Sem inventário correspondente
2666;Sem inventário correspondente
1930;Sem inventário correspondente
2671;Sem inventário correspondente
